symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,event_alpha_score,event_expected_alpha_5d,event_recent_count,event_recent_positive_count,event_recent_negative_count,event_last_type,event_last_bias,event_last_days_ago,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,event_rank_score,active_source_count,card_score
017960,한국카본,조선,0.6899830625615515,0.4775434065145645,0.8250852561287344,0.7114153154445879,0.7908333333333333,0.5,10.375,3.9355,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0521,0.537,0.0,33.6516,0.0,1.0,0.507,LNG 보냉제 성장에 방산까지 영역 확대,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,-0.2,0.7159615384615385,-0.009317577309717598,0.9538461538461539,0.5448717948717949,ridge,66,,,,,,,,,0,,,,,,,0.98,0.8690476190476191,,,,,,0.9743589743589743,0.9538461538461539,,4,0.8766328983516484
120110,코오롱인더,화학/석유화학,0.6596796067873232,0.7297854785478548,0.8000393004740831,0.2827397522360931,0.8179166666666666,0.5,10.2413,4.0977,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0102,1.0,1.0,27.2189,0.0,1.0,0.5327,"코오롱인더(120110) 실적은 반등, 포트폴리오는 진화",1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,-0.2,0.7182692307692309,-0.01015709784601979,0.9487179487179487,0.5754807692307692,ridge,66,,,,,,,,,0,,,,,,,0.9566666666666667,0.8452380952380952,,,,,,0.9794871794871794,0.9487179487179487,,4,0.8629892113095237
023530,롯데쇼핑,유통/백화점,0.6972519395417803,0.9492036160137752,0.6796267018006149,0.496532979384895,0.9233333333333332,0.5,9.8176,3.1377,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0608,0.6198,0.0,33.7047,0.0,1.0,0.5598,백화점에서 확산되는 온기(溫氣),1.0,1.0,1.0,0.0874,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,-0.2,0.7090384615384615,-0.01948828297151611,0.9256410256410257,0.6189102564102564,ridge,66,,,,,,,,,0,,,,,,,0.9866666666666667,0.7738095238095238,,,,,,0.958974358974359,0.9256410256410257,,4,0.8497444482600731
004170,신세계,유통/백화점,0.6130214009171264,0.7220906873296026,0.6138784050088398,0.5481011144592721,0.6691666666666667,0.5,10.1967,4.3338,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5812,0.0,22.1167,0.0,1.0,0.507,인바운드 증가 모멘텀은 2Q에 더 강화될 전망,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,-0.2,0.7194230769230769,-0.010437147329333778,0.9461538461538461,0.6189102564102564,ridge,66,,,,,,,,,0,,,,,,,0.8766666666666667,0.8214285714285714,,,,,,0.982051282051282,0.9461538461538461,,4,0.8306325835622711
011070,LG이노텍,디스플레이/IT부품,0.7025422514481103,0.91752762232745,0.7063868562998998,0.3259133304634811,0.9441666666666668,0.5,9.2073,2.8568,2.0,2.0,0.0,0.7964,0.0,0.0,0.0,0.0,-0.0036,0.5832,0.0,17.5549,4.0,0.96,0.5882,안 살 이유가 없다,1.0,2.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,-0.2,0.7044230769230769,-0.018396247181120772,0.9307692307692308,0.6021367521367521,ridge,66,,,,,,,,,0,,,,,,,0.99,0.6666666666666666,,,,,,0.9487179487179487,0.9307692307692308,,4,0.8248287259615383
005930,삼성전자,IT하드웨어 (반도체),0.6050741820369328,0.6235471373224278,0.8770868551738117,0.8051002056727411,0.2533333333333333,0.5041666666666668,9.3405,0.8118,3.0,3.0,0.0,0.7945,8.6649,0.0,3.4968,0.0,-0.0114,0.7505,0.3333,33.9492,4.8766,0.7512,0.5598,진정한 풀스택,0.6649,2.0,1.0,0.0503,0.0,1.0,,,0.0,0.0,0.0,,,,7.0,-0.2,0.9401923076923078,0.012239075305374648,0.9717948717948718,0.5512820512820513,ridge,66,,,,,,,,,0,,,,,,,0.86,0.7023809523809523,,,,,,0.9948717948717949,0.9717948717948718,,4,0.8022578983516482
004000,롯데정밀화학,화학,0.6006441675527642,0.701750609843593,0.67758492393275,0.5778167599368632,0.5991666666666666,0.5,9.4095,3.8189,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.2877,0.0,1.0,0.507,롯데정밀화학(004000) 암모니아 가격 상승으로 인한 반사수혜 전망,1.0,1.0,1.0,-0.2757,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,-0.2,0.7125,0.005662435204503007,0.9666666666666667,0.7303747534516766,ridge,66,,,,,,,,,0,,,,,,,0.8433333333333334,0.7261904761904762,,,,,,0.9666666666666667,0.9666666666666667,,4,0.798227306547619
010060,OCI홀딩스,화학,0.5721006278108302,0.4186396900559621,0.9089028523811132,0.2115255656000383,0.6516666666666667,0.5,9.9206,2.9182,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.043,0.6035,0.0,77.6316,0.0,1.0,0.618,태양광 중심으로 재편되는 에너지 안보 패러..,1.0,1.0,1.0,0.0453,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,-0.2,0.7021153846153847,-0.01562829275862578,0.9358974358974359,0.7303747534516766,ridge,66,,,,,,,,,0,,,,,,,0.7366666666666667,0.7976190476190477,,,,,,0.9435897435897436,0.9358974358974359,,4,0.7722242731227106
047050,포스코인터내셔널,무역회사와판매업체,0.6066286076372409,0.6672765102597217,0.8299515331689244,0.323315396757067,0.61875,0.5,9.0487,2.1161,3.0,3.0,0.0,0.7936,0.0,0.0,0.0,0.0,0.0115,0.5714,0.0,20.4986,3.3838,0.7662,0.618,"단단한 펀더멘털, 축소될 밸류에이션 갭",1.0,3.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,-0.2,0.6894230769230769,-0.02075052444737466,0.9179487179487179,0.533974358974359,ridge,66,,,,,,,,,0,,,,,,,0.8633333333333333,0.6428571428571429,,,,,,0.9179487179487179,0.9179487179487179,,4,0.7713583161630035
353200,대덕전자,전자장비와기기,0.6724190172473213,0.3983713588750179,0.9344541288019548,0.4928559812502989,0.8175,0.5,7.6877,0.676,3.0,2.0,0.0,0.7638,0.0,0.0,0.0,0.0,0.073,0.7476,0.3333,70.394,2.2097,0.9779,0.618,"서버 FCBGA 공급 가시화, 멀티플 리레이팅 근..",0.5698,1.0,1.0,-0.0505,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,-0.2,0.6721153846153847,-0.012729427757865563,0.941025641025641,0.5918414918414918,ridge,66,,,,,,,,,0,,,,,,,0.9666666666666667,0.47619047619047616,,,,,,0.8794871794871795,0.941025641025641,,4,0.7649049908424908
